ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
18-Nov-2022,129.33,-2.85,-2.16%,129.33,129.33,129.33,
17-Nov-2022,132.18,+1.35,+1.03%,132.18,132.18,132.18,
16-Nov-2022,130.83,+2.21,+1.72%,128.62,128.62,130.83,
15-Nov-2022,128.62,+8.63,+7.19%,128.62,128.62,128.62,
14-Nov-2022,119.99,+8.30,+7.43%,119.99,119.99,119.99,
10-Nov-2022,111.69,-12.71,-10.22%,124.40,111.69,124.40,
09-Nov-2022,124.40,-1.93,-1.53%,126.33,124.40,126.33,
08-Nov-2022,126.33,-2.00,-1.56%,128.33,126.33,128.33,
07-Nov-2022,128.33,-0.11,-0.09%,136.28,128.33,136.28,
04-Nov-2022,128.44,-7.84,-5.75%,136.28,128.44,136.28,
03-Nov-2022,136.28,-4.89,-3.46%,141.17,136.28,141.17,
02-Nov-2022,141.17,-7.25,-4.88%,148.42,141.17,148.42,
01-Nov-2022,148.42,+0.50,+0.34%,147.92,147.92,148.42,
31-Oct-2022,147.92,+3.32,+2.30%,142.78,142.78,147.92,
28-Oct-2022,144.60,+1.82,+1.27%,142.78,142.78,144.60,
27-Oct-2022,142.78,+2.58,+1.84%,140.20,140.20,142.78,
26-Oct-2022,140.20,-7.58,-5.13%,147.78,140.20,147.78,
25-Oct-2022,147.78,-6.24,-4.05%,154.02,147.78,154.02,
24-Oct-2022,154.02,-2.93,-1.87%,155.61,154.02,155.61,
21-Oct-2022,156.95,+1.34,+0.86%,155.61,155.61,156.95,
20-Oct-2022,155.61,+7.88,+5.33%,147.73,147.73,155.61,
19-Oct-2022,147.73,+1.94,+1.33%,145.79,145.79,147.73,
18-Oct-2022,145.79,-4.63,-3.08%,150.42,145.79,150.42,
17-Oct-2022,150.42,-2.47,-1.62%,155.08,150.42,155.08,
14-Oct-2022,152.89,-2.19,-1.41%,155.08,152.89,155.08,
13-Oct-2022,155.08,-5.64,-3.51%,160.72,155.08,160.72,
12-Oct-2022,160.72,+5.15,+3.31%,155.57,155.57,160.72,
11-Oct-2022,155.57,+7.11,+4.79%,148.46,148.46,155.57,
07-Oct-2022,148.46,-4.83,-3.15%,153.29,148.46,153.29,
06-Oct-2022,153.29,+1.28,+0.84%,152.01,152.01,153.29,
05-Oct-2022,152.01,+0.80,+0.53%,151.21,151.21,152.01,
04-Oct-2022,151.21,-1.73,-1.13%,152.94,151.21,152.94,
03-Oct-2022,152.94,+11.05,+7.79%,148.14,148.14,152.94,
30-Sep-2022,141.89,-6.25,-4.22%,148.14,141.89,148.14,
29-Sep-2022,148.14,-10.85,-6.82%,158.99,148.14,158.99,
28-Sep-2022,158.99,+0.87,+0.55%,158.12,158.12,158.99,
27-Sep-2022,158.12,+4.51,+2.94%,153.61,153.61,158.12,
26-Sep-2022,153.61,+16.33,+11.90%,131.93,131.93,153.61,
23-Sep-2022,137.28,+5.35,+4.06%,131.93,131.93,137.28,
22-Sep-2022,131.93,+1.39,+1.06%,130.54,130.54,131.93,
21-Sep-2022,130.54,-4.12,-3.06%,134.66,130.54,134.66,
20-Sep-2022,134.66,+0.87,+0.65%,133.79,133.79,134.66,
19-Sep-2022,133.79,+8.84,+7.07%,124.07,124.07,133.79,
16-Sep-2022,124.95,+0.88,+0.71%,124.07,124.07,124.95,
15-Sep-2022,124.07,-1.28,-1.02%,125.35,124.07,125.35,
14-Sep-2022,125.35,-3.52,-2.73%,128.87,125.35,128.87,
13-Sep-2022,128.87,+5.80,+4.71%,123.07,123.07,128.87,
12-Sep-2022,123.07,+1.53,+1.26%,124.14,123.07,124.14,
09-Sep-2022,121.54,-2.60,-2.09%,124.14,121.54,124.14,
08-Sep-2022,124.14,-8.98,-6.75%,133.12,124.14,133.12,
07-Sep-2022,133.12,-0.42,-0.31%,133.54,133.12,133.54,
06-Sep-2022,133.54,+12.82,+10.62%,120.72,120.72,133.54,
02-Sep-2022,120.72,-5.86,-4.63%,126.58,120.72,126.58,
01-Sep-2022,126.58,+1.74,+1.39%,124.84,124.84,126.58,
31-Aug-2022,124.84,-2.85,-2.23%,127.69,124.84,127.69,
30-Aug-2022,127.69,-2.45,-1.88%,130.14,127.69,130.14,
29-Aug-2022,130.14,+7.19,+5.85%,126.33,126.33,130.14,
26-Aug-2022,122.95,-3.38,-2.68%,126.33,122.95,126.33,
25-Aug-2022,126.33,-6.80,-5.11%,133.13,126.33,133.13,
24-Aug-2022,133.13,-0.72,-0.54%,133.85,133.13,133.85,
23-Aug-2022,133.85,-2.04,-1.50%,135.89,133.85,135.89,
22-Aug-2022,135.89,+12.08,+9.76%,120.26,120.26,135.89,
19-Aug-2022,123.81,+3.55,+2.95%,120.26,120.26,123.81,
18-Aug-2022,120.26,+2.56,+2.18%,117.70,117.70,120.26,
17-Aug-2022,117.70,+0.87,+0.74%,116.83,116.83,117.70,
16-Aug-2022,116.83,+3.01,+2.64%,113.82,113.82,116.83,
15-Aug-2022,113.82,+7.54,+7.09%,111.11,111.11,113.82,
12-Aug-2022,106.28,-4.83,-4.35%,111.11,106.28,111.11,
11-Aug-2022,111.11,-4.15,-3.60%,115.26,111.11,115.26,
10-Aug-2022,115.26,-9.86,-7.88%,125.12,115.26,125.12,
09-Aug-2022,125.12,+1.00,+0.81%,124.12,124.12,125.12,
08-Aug-2022,124.12,+1.54,+1.26%,120.57,120.57,124.12,
05-Aug-2022,122.58,+2.01,+1.67%,120.57,120.57,122.58,
04-Aug-2022,120.57,-1.47,-1.20%,122.04,120.57,122.04,
03-Aug-2022,122.04,-7.19,-5.56%,129.23,122.04,129.23,
